disease,step,rr_mean,rr_lci,rr_uci
cancer,0,1.0257381062399,1.00068612452443,1.05076701765712
cancer,100,1.02446276182833,1.00066337915405,1.0482402277184
cancer,200,1.02318741741677,1.00064063378368,1.04571343777968
cancer,300,1.0219120730052,1.00061788841331,1.04318664784097
cancer,400,1.02063672859364,1.00059514304293,1.04065985790225
cancer,500,1.01936138418207,1.00057239767256,1.03813306796353
cancer,600,1.01808603977051,1.00054965230218,1.03560627802482
cancer,700,1.01681069535894,1.00052690693181,1.0330794880861
cancer,800,1.01553535094738,1.00050416156143,1.03055269814738
cancer,900,1.01426000653582,1.00048141619106,1.02802590820866
cancer,1000,1.01298466212425,1.00045867082069,1.02549911826995
cancer,1100,1.01170931771269,1.00043592545031,1.02297232833123
cancer,1200,1.01043397330112,1.00041318007994,1.02044553839251
cancer,1300,1.00915862888956,1.00039043470956,1.0179187484538
cancer,1400,1.00788328447799,1.00036768933919,1.01539195851508
cancer,1500,1.00660794006643,1.00034494396881,1.01286516857636
cancer,1600,1.00533259565486,1.00032219859844,1.01033837863764
cancer,1700,1.0040572512433,1.00029945322806,1.00781158869893
cancer,1800,1.00278190683173,1.00027670785769,1.00528479876021
cancer,1900,1.00150656242017,1.00025396248732,1.00275800882149
cancer,2000,1.0002312180086,1.00023121711694,1.00023121888277
cancer,2100,0.998945180584809,0.997749105608297,1.00015117543058
cancer,2200,0.997659143161014,0.995266994099653,1.00007113197838
cancer,2300,0.996373105737219,0.992784882591008,0.999991088526181
cancer,2400,0.995087068313424,0.990302771082363,0.999911045073983
cancer,2500,0.993801030889628,0.987820659573719,0.999831001621786
cancer,2600,0.992514993465833,0.985338548065074,0.999750958169588
cancer,2700,0.991228956042038,0.982856436556429,0.99967091471739
cancer,2800,0.989942918618243,0.980374325047785,0.999590871265193
cancer,2900,0.988656881194448,0.97789221353914,0.999510827812995
cancer,3000,0.987370843770653,0.975410102030495,0.999430784360797
cancer,3100,0.986084806346858,0.972927990521851,0.999350740908599
cancer,3200,0.984798768923062,0.970445879013206,0.999270697456401
cancer,3300,0.983512731499267,0.967963767504562,0.999190654004203
cancer,3400,0.982226694075472,0.965481655995917,0.999110610552006
cancer,3500,0.980940656651677,0.962999544487272,0.999030567099808
cancer,3600,0.979654619227882,0.960517432978628,0.99895052364761
cancer,3700,0.978368581804087,0.958035321469983,0.998870480195412
cancer,3800,0.977082544380291,0.955553209961338,0.998790436743215
cancer,3900,0.975796506956496,0.953071098452694,0.998710393291017
cancer,4000,0.974510469532701,0.950588986944049,0.998630349838819
cancer,4100,0.973305362991009,0.948055805544308,0.998885788051988
cancer,4200,0.972100256449317,0.945522624144568,0.999141226265156
cancer,4300,0.970895149907626,0.942989442744827,0.999396664478324
cancer,4400,0.969690043365934,0.940456261345086,0.999652102691493
cancer,4500,0.968484936824242,0.937923079945345,0.999907540904661
cancer,4600,0.96727983028255,0.935389898545604,1.00016297911783
cancer,4700,0.966074723740858,0.932856717145863,1.000418417331
cancer,4800,0.964869617199167,0.930323535746122,1.00067385554417
cancer,4900,0.963664510657475,0.927790354346382,1.00092929375734
cancer,5000,0.962459404115783,0.925257172946641,1.0011847319705
cancer,5100,0.961254297574091,0.9227239915469,1.00144017018367
cancer,5200,0.9600491910324,0.920190810147159,1.00169560839684
cancer,5300,0.958844084490708,0.917657628747418,1.00195104661001
cancer,5400,0.957638977949016,0.915124447347677,1.00220648482318
cancer,5500,0.956433871407324,0.912591265947937,1.00246192303635
cancer,5600,0.955228764865632,0.910058084548196,1.00271736124951
cancer,5700,0.954023658323941,0.907524903148455,1.00297279946268
cancer,5800,0.952818551782249,0.904991721748714,1.00322823767585
cancer,5900,0.951613445240557,0.902458540348973,1.00348367588902
cancer,6000,0.950408338698865,0.899925358949233,1.00373911410219
cancer,6100,0.949216946417192,0.897521856714764,1.00391841467681
cancer,6200,0.948025554135519,0.895118354480296,1.00409771525143
cancer,6300,0.946834161853847,0.892714852245827,1.00427701582605
cancer,6400,0.945642769572174,0.890311350011359,1.00445631640067
cancer,6500,0.9444513772905,0.88790784777689,1.00463561697529
cancer,6600,0.943259985008828,0.885504345542422,1.00481491754991
cancer,6700,0.942068592727155,0.883100843307953,1.00499421812453
cancer,6800,0.940877200445482,0.880697341073485,1.00517351869914
cancer,6900,0.939685808163809,0.878293838839016,1.00535281927376
cancer,7000,0.938494415882136,0.875890336604548,1.00553211984838
cancer,7100,0.937303023600463,0.873486834370079,1.005711420423
cancer,7200,0.93611163131879,0.871083332135611,1.00589072099762
cancer,7300,0.934920239037117,0.868679829901142,1.00607002157224
cancer,7400,0.933728846755444,0.866276327666674,1.00624932214686
