IDENT_MEN;pond_menC;JNBVEH;JNBVHS;JNBVPHS;JNBCCHS;JNBVULHS;JNBMOTO;JNBCYCLO;JNBAUTVEH;JNBVELOAD;JNBVELOENF;JUTILMOTO;JUTILCYCLO;JUTILAUTVEH;JUTILVELOAD;JUTILVELOENF;JVOLVELO;JPLUSVELO;JNBKVM;JUTIL2RM;BLOGDIST
1100000527000;1989.7464075;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000528000;1089.231698;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100000534000;2092.8559807;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;3
1100000535000;1074.2196825;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;4
1100000538000;2158.0289997;1;2;;;;0;0;0;2;2;;;;2;0;2;;1;0;1
1100000546000;4468.3391738;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000547000;2869.9662693;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000548000;1466.9320202;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100000553000;5337.9916213;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;2
1100000557000;4100.3959113;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100000564000;2248.2198017;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000565000;3018.8035917;3;2;;;;0;0;0;2;0;;;;2;;2;;3;0;1
1100000618000;2481.4433729;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000623000;2007.1550416;0;;;;;0;0;0;1;0;;;;1;;2;;0;0;1
1100000627000;2030.1037866;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000633000;3535.6647352;0;;;;;0;0;0;1;0;;;;1;;2;;0;0;2
1100000634000;2041.7270456;1;2;;;;0;0;0;2;0;;;;2;;2;;1;0;1
1100000635000;1061.1235835;2;2;;;;1;0;0;0;0;0;;;;;2;;2;0;2
1100000644000;3854.0777641;1;2;;;;0;0;0;1;0;;;;1;;2;;1;0;1
1100000645000;935.72133991;2;2;;;;0;0;0;0;2;;;;;2;2;;2;0;1
1100000646000;2531.157056;1;2;;;;0;0;0;0;2;;;;;1;2;;1;0;2
1100000647000;5195.6030297;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000654000;2964.2422083;1;2;;;;0;0;0;2;0;;;;2;;2;;1;0;3
1100000655000;1688.2432181;3;2;;;;0;0;0;4;1;;;;4;1;2;;3;0;1
1100000658000;1950.5598852;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000663000;3913.6665486;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000667000;2673.2650688;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000668000;2058.136591;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000714000;2341.7422096;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;4
1100000724000;1701.487359;1;2;;;;0;0;0;2;0;;;;2;;2;;1;0;2
1100000728000;1899.654657;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000734000;2571.2436353;1;2;;;;0;0;0;2;1;;;;2;1;2;;1;0;1
1100000738000;1322.3046122;1;2;;;;0;0;0;0;3;;;;;3;2;;1;0;1
1100000746000;3161.7704123;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100000747000;1362.6858618;2;2;;;;0;0;0;3;0;;;;3;;2;;2;0;1
1100000753000;6093.1320593;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000754000;2002.2834335;1;2;;;;0;0;0;1;0;;;;1;;2;;1;0;1
1100000755000;1253.7494121;1;2;;;;0;1;0;2;0;;0;;0;;2;;1;0;1
1100000765000;2302.8022689;3;2;;;;0;0;0;6;3;;;;5;3;2;;3;0;2
1100000815000;711.87510138;3;1;1;0;0;0;0;0;0;0;;;;;;2;;2;0;1
1100000823000;2370.5786974;0;;;;;0;0;0;3;0;;;;1;;1;2;0;0;1
1100000824000;2641.3003625;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000833000;1965.4200018;0;;;;;0;0;0;2;2;;;;0;0;2;;0;0;3
1100000835000;1625.0241803;1;2;;;;0;0;0;3;2;;;;3;2;2;;1;0;1
1100000848000;1499.3555316;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000853000;5950.6249028;0;;;;;0;0;0;0;3;;;;;3;2;;0;0;1
1100000854000;1998.8893324;2;2;;;;1;0;0;0;0;1;;;;;2;;2;1;1
1100000855000;1960.8206068;2;2;;;;0;0;0;0;2;;;;;2;2;;2;0;1
1100000864000;1479.1306087;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100000865000;1123.4538227;3;2;;;;0;0;0;2;0;;;;0;;2;;3;0;1
1100000868000;1391.2770846;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000915000;2375.7191976;2;2;;;;0;0;0;2;2;;;;2;2;2;;2;0;2
1100000918000;1621.7362777;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;2
1100000923000;1700.0586736;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000926000;2883.6171405;2;2;;;;1;0;0;2;2;1;;;2;2;2;;2;1;2
1100000933000;3290.0329976;1;2;;;;2;1;0;1;1;1;0;;1;1;1;1;1;1;1
1100000934000;3213.1482559;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;4
1100000935000;1688.66119;1;2;;;;1;0;0;3;1;1;;;1;1;1;2;1;1;2
1100000937000;2581.9111014;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100000946000;2576.5973667;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000948000;1564.5465476;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;3
1100000953000;3974.5989257;0;;;;;0;0;0;0;0;;;;;;2;;0;0;3
1100000954000;2878.6824487;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100000955000;1578.2192329;3;2;;;;0;0;0;0;1;;;;;0;2;;3;0;1
1100000964000;2468.6083903;1;2;;;;1;0;0;4;0;1;;;4;;1;1;1;1;1
1100001013000;2527.4720308;0;;;;;0;0;0;1;0;;;;1;;1;2;0;0;1
1100001014000;1240.6748569;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;2
1100001015000;1488.5930656;4;2;;;;0;0;0;0;0;;;;;;2;;4;0;1
1100001017000;2539.6006696;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001018000;1791.1508843;2;2;;;;0;0;0;0;4;;;;;4;2;;2;0;1
1100001023000;2639.8865511;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001025000;749.09445185;2;2;;;;0;0;0;1;0;;;;1;;2;;2;0;1
1100001026000;1050.7897252;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001028000;1933.5827194;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001034000;1875.9408464;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;3
1100001035000;1202.6424467;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001037000;2280.1555762;1;1;0;0;0;0;0;0;2;0;;;;0;;2;;1;0;1
1100001046000;1990.3762416;2;2;;;;0;0;0;1;0;;;;1;;2;;2;0;1
1100001053000;1916.720956;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001054000;2467.0804264;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;2
1100001055000;1836.4161393;2;2;;;;0;0;0;2;2;;;;2;2;2;;2;0;1
1100001057000;2696.6892436;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001063000;5025.547221;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001064000;3799.1047633;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001065000;1382.3220776;2;2;;;;0;0;0;2;0;;;;2;;2;;2;0;1
1100001068000;1531.6620187;2;2;;;;0;0;0;0;1;;;;;1;2;;2;0;1
1100001113000;3339.2605517;0;;;;;0;0;0;2;0;;;;2;;1;2;0;0;1
1100001114000;1341.711921;0;;;;;0;0;0;0;1;;;;;0;2;;0;0;1
1100001123000;3500.3523408;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001127000;2473.983137;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001128000;1886.823253;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001133000;2083.368347;0;;;;;0;0;0;0;0;;;;;;2;;0;0;3
1100001134000;1813.6966183;1;2;;;;0;0;0;0;1;;;;;0;1;1;1;0;1
1100001137000;1567.4461781;0;;;;;0;0;0;0;0;;;;;;2;;0;0;2
1100001138000;2277.1022324;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001148000;2017.1601971;0;;;;;0;0;0;0;2;;;;;2;2;;0;0;2
1100001153000;4430.3584346;0;;;;;0;0;0;2;0;;;;1;;2;;0;0;1
1100001154000;1862.6621106;2;2;;;;1;0;0;2;0;1;;;0;;2;;2;1;2
1100001155000;1404.4852253;2;2;;;;0;0;0;2;0;;;;2;;2;;2;0;1
1100001157000;2397.5703674;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001158000;861.15848106;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001163000;6003.8374399;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001164000;2671.187128;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001168000;1633.0380494;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001213000;2510.21769;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
1100001215000;1559.4787779;2;2;;;;0;0;0;1;0;;;;1;;2;;2;0;1
1100001224000;3926.9504082;2;2;;;;0;0;0;0;0;;;;;;2;;2;0;1
1100001225000;1357.4280295;2;2;;;;0;0;0;1;0;;;;1;;2;;2;0;1
1100001226000;2013.5138633;1;2;;;;0;1;0;0;1;;0;;;1;2;;1;0;1
1100001228000;1982.7160222;1;2;;;;0;0;0;0;0;;;;;;2;;1;0;1
1100001234000;1531.8571331;1;2;;;;0;0;0;2;0;;;;0;;2;;1;0;1
1100001235000;1113.5333124;2;2;;;;1;0;0;3;0;1;;;0;;2;;2;1;1
1100001237000;3557.3000916;0;;;;;0;0;0;0;0;;;;;;2;;0;0;1
