IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_velo;KVELOCAT;KVELOLDD;KVELOBTP;KVELOFREQ;KVELOQUI;KVELOUTIL_FLAG;KVELOUTIL_A;KVELOUTIL_B;KVELOUTIL_C;KVELOUTIL_D;KVPARKVELO;KVKM1SEM
110000096400021;1100000964000;21;2468.6083903;2;2;2;6;1;1;0;1;0;0;1;
110000096400022;1100000964000;22;2468.6083903;2;2;2;6;2;1;0;1;0;0;1;
110000096400023;1100000964000;23;2468.6083903;1;2;2;6;3;1;0;1;0;0;5;
110000096400024;1100000964000;24;2468.6083903;1;2;2;6;4;1;0;1;0;0;5;
110000101300021;1100001013000;21;2527.4720308;4;2;2;4;1;1;0;1;0;1;3;0
110000102500021;1100001025000;21;749.09445185;2;2;2;1;2;1;0;1;0;1;1;100
110000104600021;1100001046000;21;1990.3762416;2;2;2;6;1;1;1;1;0;0;4;
110000105500021;1100001055000;21;1836.4161393;1;2;2;6;1;1;0;1;0;0;3;
110000105500022;1100001055000;22;1836.4161393;1;2;2;6;2;1;0;1;0;0;3;
110000106500021;1100001065000;21;1382.3220776;1;2;2;3;1;1;0;1;0;0;2;8
110000106500022;1100001065000;22;1382.3220776;1;2;2;3;1;1;0;1;0;0;2;8
110000111300022;1100001113000;22;3339.2605517;2;2;2;5;2;1;0;1;0;1;2;
110000111300021;1100001113000;21;3339.2605517;2;2;2;2;1;1;1;1;0;1;2;7
110000115300021;1100001153000;21;4430.3584346;1;2;2;6;2;1;1;0;0;0;3;
110000115500021;1100001155000;21;1404.4852253;1;2;2;6;2;1;0;1;0;0;5;
110000115500022;1100001155000;22;1404.4852253;1;2;2;6;2;1;0;1;0;0;5;
110000121500021;1100001215000;21;1559.4787779;1;2;2;4;1;1;0;1;0;0;5;0
110000122500021;1100001225000;21;1357.4280295;4;2;2;1;1;1;0;0;0;1;4;15
110000124600021;1100001246000;21;2338.7440431;1;2;2;3;1;1;1;1;0;0;1;45
110000125500021;1100001255000;21;1462.5024645;1;2;2;6;1;1;0;1;0;0;1;
110000125500022;1100001255000;22;1462.5024645;1;2;2;6;2;1;0;1;0;0;1;
110000131400021;1100001314000;21;3044.2948139;1;2;2;6;1;1;0;1;0;0;4;
110000132400021;1100001324000;21;2566.2364983;4;2;2;6;1;1;0;1;0;0;4;
110000133400021;1100001334000;21;2197.0557597;1;2;2;6;1;1;1;0;0;0;5;
110000133500021;1100001335000;21;514.68122182;4;2;2;5;1;1;0;1;0;0;7;
110000133800021;1100001338000;21;2415.6836717;1;2;2;6;1;1;0;1;0;0;5;
110000134600021;1100001346000;21;3384.1988754;1;2;2;6;2;1;0;1;0;0;4;
110000136300021;1100001363000;21;3117.4605482;1;2;2;6;2;1;0;1;0;0;5;
110000136400021;1100001364000;21;4010.7428876;2;2;2;6;2;1;0;1;0;0;1;
110000136400022;1100001364000;22;4010.7428876;4;2;2;6;1;1;0;0;1;0;1;
110000136500022;1100001365000;22;3911.5990747;2;2;2;4;1;1;0;1;0;1;1;0
110000136500021;1100001365000;21;3911.5990747;2;2;1;4;1;1;0;1;0;0;1;0
110000141800023;1100001418000;23;1068.6947574;1;2;2;6;1;1;1;1;0;0;4;
110000141800024;1100001418000;24;1068.6947574;4;2;2;6;2;1;1;1;0;1;4;
110000141800022;1100001418000;22;1068.6947574;4;2;2;1;2;1;0;1;0;1;1;30
110000141800021;1100001418000;21;1068.6947574;1;2;2;3;1;1;1;1;0;1;1;10
110000144300021;1100001443000;21;4603.3011748;4;2;2;6;1;1;0;1;0;1;5;
110000144300022;1100001443000;22;4603.3011748;4;2;2;4;2;1;0;0;0;1;5;10
110000144600021;1100001446000;21;2391.4881858;1;2;2;6;1;1;0;1;0;0;1;
110000144600022;1100001446000;22;2391.4881858;1;2;2;6;2;1;0;1;0;0;1;
110000153500021;1100001535000;21;1903.234653;2;2;2;6;1;1;0;1;0;0;5;
110000154500021;1100001545000;21;1531.9970036;2;2;2;5;1;1;0;1;0;0;1;
110000154500022;1100001545000;22;1531.9970036;2;2;2;5;2;1;0;1;0;0;1;
110000154500023;1100001545000;23;1531.9970036;2;2;2;5;3;1;0;1;0;0;1;
