ident_ind;ident_men;ident_log;NOI;BS;HABRP;vague_enq;SEXE;ANAIS;AGE;AGEJANV;AG;AGEQ;AGQ;AGE6;AG6;LNAIS;NAIS7;ANARRIV;INATIO;NATIO7;COUPLE;COUPLRP;CONJOINT;ETAMATRI;PACS;LIENTYP;LIENPERS;ENFANT;ENFRP;LIEN_01;LIEN_02;LIEN_03;LIEN_04;LIEN_05;LIEN_06;LIEN_07;LIEN_08;LIEN_09;LIEN_10;AIDE1E;IDENTAID;TYPOLOG;JOURAN;JOURSEM;MOISAN;JOUR2AN;DOLOG;IDOLOG;IPROPLOC;AUTLOG;LOGCOL;TYPLOGCO;TYPLOGCO_A;TYPLOGCO_B;TYPLOGCO_C;TYPLOGCO_D;TYPLOGCO_E;TYPLOGCO_F;TYPLOGCO_G;TYPLOGCO_H;LOGIND;NAUTLOG_IND;NOLOG1_IND;TYPOLOGD1;JOURAND1;JOURSEMD1;MOISAND1;JOUR2AND1;DOLOGD1;NOLOG2_IND;TYPOLOGD2;JOURAND2;JOURSEMD2;MOISAND2;JOUR2AND2;DOLOGD2;HANDICAP;IGREF;PRACT;IPRAN;LIENPREF;LIENPRRP;FAMPRINC;CS42;CS24;SITUA;ACTIF;ACTOCCUP;ACTOCCUPE;TRAVAIL;TRAVAILNR;ACTIVANTE;STATUT;RECHEMPLOI;CS_ACT;TYPEMPLOI;TITULAIREFP;TEMPTRAV;SUPERVISION;CLASSIF;FONCTION;SALARIES;STATUTANTE;SUPERVISANTE;CLASSIFANTE;CS_ANTE;STATUTCD;CLASSIFCD;CS_DCD;DIP11;DDIPL;MER1E;MER2E;PER1E;PER2E;APART;TYPFAM
110000015400002;1100000154000;110000015400;02;0;1;5;2;1970;48;48;49;45;45;40;40;2;6;1971;1;1;1;1;1;2;;;;2;2;01;00;03;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;01;1;37;36;1;1;1;0;1;;;3;3;37;6;;1;3;7;11;;;;;;;;;31;3;2;;3;;2;1
110000015500004;1100000155000;110000015500;04;0;1;5;1;2012;6;6;7;05;05;00;00;1;1;;;;;2;;1;;;;1;1;02;02;10;00;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;0;2;2;02;02;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;1
110000015700001;1100000157000;110000015700;01;0;1;5;2;1949;69;69;70;65;70;60;60;1;1;;1;1;3;2;;1;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;74;73;5;2;2;0;2;2;1;;3;;;;;;;;;3;3;7;37;;;;10;1;3;;3;;;0
110000015800001;1100000158000;110000015800;01;0;1;5;2;1976;43;42;43;40;40;40;40;1;1;;1;1;3;2;;1;2;;;2;2;00;03;10;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;52;51;1;1;1;0;1;;;1;3;52;6;1;1;3;8;3;;;;;;;;;50;5;2;;3;;2;3
110000016500001;1100000165000;110000016500;01;0;1;6;1;1952;66;66;67;65;65;60;60;1;1;;1;1;1;1;2;2;;;;2;2;00;01;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;74;73;5;2;2;0;2;2;1;;3;;;;;;;;;3;1;7;37;;;;11;1;3;;3;;2;0
110000016700001;1100000167000;110000016700;01;0;1;6;1;1975;44;43;44;40;40;40;40;1;1;;1;1;1;1;2;2;;;;2;2;00;01;03;03;03;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;1;2;01;00;1;22;22;1;1;1;0;1;;;6;3;22;;;;;;;1;;;;;;;;11;1;2;;2;;2;1
110000022300001;1100000223000;110000022300;01;0;1;2;2;1959;59;58;59;55;55;50;50;1;2;;1;1;3;2;;1;2;;;2;2;00;03;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;1;3;1;2;03;00;1;77;76;7;2;2;0;2;1;1;;3;;;;;;;;;3;3;;56;;;;60;6;3;;3;;2;3
110000022500001;1100000225000;110000022500;01;0;1;2;2;1955;63;62;63;60;60;60;60;1;1;;1;1;3;2;;3;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;75;73;5;2;2;0;2;2;1;;3;;;;;;;;;1;3;;42;1;;63;30;3;2;;3;;;0
110000022600002;1100000226000;110000022600;02;0;1;2;2;1975;43;42;43;40;40;40;40;1;1;;1;1;1;1;1;2;;;;2;2;01;00;03;03;03;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;2;2;2;01;01;1;42;41;1;1;1;0;1;;;1;3;42;6;1;1;3;6;;;;;;;;;;10;1;2;;2;;2;1
110000022700001;1100000227000;110000022700;01;0;1;2;1;1955;62;62;63;60;60;60;60;1;1;;1;1;3;2;;4;2;;;2;2;00;;;;;;;;;;;;1;;;;;100;4;;2;;;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;2;1;1;2;00;00;1;48;48;1;1;1;0;1;;;3;3;48;6;;1;1;5;;;;;;;;;;42;4;2;;3;;;0
