IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;KVROUL;cylindree_fin;energie_fin;energie_agrege;hybride;energie_statinfo;energie_CritAir;critair;puis_fisc_fin;ANNEE_1mec;age;ANNEE_acq;dur_acq;KVAQUIV;KVAQUINO01;KVAQUINO02;KVAQUINO03;KVAQUINO04;KVAQUINO05;KVAQUINO06;KVAQUINO07;KVAQUINO08;KVAQUINO09;KVAQUINO10;KVAQUINO11;KVAQUINO12;KVAQUINO13;KVAQUINO14;KVAQUINO15;KVAQUINO16;KVAQUINO17;KVAQUINO18;KVAQUINO19;KVAQUINO20;KVAQUINO21;KVQUICONV01;KVQUICONV02;KVQUICONV03;KVQUICONV04;KVQUICONV05;KVQUICONV06;KVQUICONV07;KVQUICONV08;KVQUICONV09;KVQUICONV10;KVQUICONV11;KVQUICONV12;KVQUICONV13;KVQUICONV14;KVQUICONV15;KVQUICONV16;KVQUICONV17;KVQUICONV18;KVQUICONV19;KVQUICONV20;KVQUICONV21;KVQUI9COV;KVQUICONPV;KVKMV;indic_km_corr;KVKMVT;KVKM1ANV;indic_km_annu_corr;KVKM1ANVT;KVCONS;KVGAREJOUR;KVGARENUIT;KVGARELEC_FLAG;KVGARELEC_A;KVGARELEC_B
110000016500002;1100000165000;02;1491.220115;1;1.6;GO;2;;4;2;2;5;2012;85;2012;80;1;2;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;2;95918.341598;INTERPO;4;11965.564738;INTERPO;4;5;3;1;1;1;0
110000016500001;1100000165000;01;1491.220115;1;2;GH;4;Hybride non rechargeable;5;2;1;8;2015;48;2016;31;1;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;60883;INTERPO;3;14224.185657;INTERPO;4;6;1;1;1;1;0
110000022300001;1100000223000;01;4016.9372092;1;999;;1;;;;;6;.;;2015;41;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;6768.0908779;IMPUTAT;1;100;IMPUTAT;1;9999;2;2;1;0;0
110000022500001;1100000225000;01;1583.2761194;1;;;;;;;;;.;;2005;154;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;168639;ENQUETE;6;5000;ENQUETE;2;9999;1;1;1;1;0
110000022500002;1100000225000;02;1583.2761194;1;1.1;ES;1;;2;4;3;4;1998;237;1998;237;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;159148.97;INTERPO;6;6064.5490443;INTERPO;2;9999;1;1;1;1;0
110000022600002;1100000226000;02;2824.2395302;1;1.6;GO;2;;4;2;2;7;2016;23;2016;21;1;1;2;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;4;1;41978.307281;INTERPO;2;17743.930119;INTERPO;5;6;4;4;1;0;0
110000022600001;1100000226000;01;2824.2395302;1;0.9;ES;1;;2;4;1;5;2015;33;2015;33;1;2;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;4;2;23978.104972;INTERPO;1;8858.308011;INTERPO;3;6;4;4;1;0;0
110000022700001;1100000227000;01;1986.984991;1;3.6;ES;1;;2;4;N;21;1995;275;2000;215;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;92293.88518;INTERPO;4;700.27369826;INTERPO;1;11;1;1;1;1;0
110000022700002;1100000227000;02;1986.984991;1;2.2;GO;2;;4;2;4;10;2003;182;2004;169;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;4;;69284.462585;INTERPO;3;4906.3945578;INTERPO;2;7.5;1;1;1;1;0
110000023400002;1100000234000;02;2463.0526103;1;1.6;GO;2;;4;2;2;5;2012;71;2017;16;1;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;103289.87432;INTERPO;5;12337.199454;INTERPO;4;5.7;2;2;1;0;0
