IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;ANNEE_1mec;ANNEE_acq;age_mois_veh;KVAVCAT2R;KVCYLIND2R;KVQUICON2R01;KVQUICON2R02;KVQUICON2R03;KVQUICON2R04;KVQUICON2R05;KVQUICON2R06;KVQUICON2R07;KVQUICON2R08;KVQUICON2R09;KVQUICON2R10;KVQUICON2R11;KVQUICON2R12;KVQUICON2R13;KVQUICON2R14;KVQUICON2R15;KVQUICON2R16;KVQUICON2R17;KVQUICON2R18;KVQUICON2R19;KVQUICON2R20;KVQUICON2R21;KVQUICONP2R;KVPARK2R;KVKM1AN2R;KVKM1AN2RT
110000443700006;1100004437000;06;3513.569476;2012;2012;78;2;123;1;;;;;;;;;;;;;;;;;;;;;;3;;2
110000461400006;1100004614000;06;2631.1700921;2004;2008;161;2;124;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
110000466500006;1100004665000;06;2478.4410251;2015;2015;41;2;638;2;;;;;;;;;;;;;;;;;;;;;;1;;5
110000471400006;1100004714000;06;3299.7137161;.;.;;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
110000512400006;1100005124000;06;1804.8722725;2012;.;76;1;903;2;;;;;;;;;;;;;;;;;;;;;;1;;9
110000532700006;1100005327000;06;2041.8996667;2014;2004;43;1;670;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
110000544500006;1100005445000;06;1202.156293;2018;2018;9;1;1301;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
110000552300006;1100005523000;06;3657.6373774;2015;2015;34;2;493;1;;;;;;;;;;;;;;;;;;;;;;2;10000;
110000553400006;1100005534000;06;1101.8394486;2006;2014;146;2;124;2;;;;;;;;;;;;;;;;;;;;;;1;2500;
110000554300006;1100005543000;06;4515.6299518;2016;2016;32;1;1690;1;;;;;;;;;;;;;;;;;;;;;;1;;6
110000576300006;1100005763000;06;4635.8619992;2015;2015;50;2;50;1;;;;;;;;;;;;;;;;;;;;;;2;;2
110000584300006;1100005843000;06;4219.1074791;2013;2014;64;2;278;1;;;;;;;;;;;;;;;;;;;;;;4;3000;
110000622300006;1100006223000;06;3489.4129773;.;2018;;2;125;2;;;;;;;;;;;;;;;;;;;;;;4;;5
110000646300006;1100006463000;06;3576.4915036;.;.;;1;1200;21;;;;;;;;;;;;;;;;;;;;;;1;;3
110000655400006;1100006554000;06;3085.6476754;.;.;;2;50;2;;;;;;;;;;;;;;;;;;;;;;2;;5
110000661700006;1100006617000;06;2253.4754333;.;2014;;1;1200;2;;;;;;;;;;;;;;;;;;;;;;1;20000;
110000693300006;1100006933000;06;3142.7427696;2015;2015;41;2;49;1;;;;;;;;;;;;;;;;;;;;;;2;1000;
110000755400006;1100007554000;06;5150.4337528;2001;2005;206;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;;6
110000843400006;1100008434000;06;3753.3311432;2013;.;66;3;49;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
110000942400006;1100009424000;06;2085.3318745;.;.;;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;;2
110000946700006;1100009467000;06;2661.6800828;.;.;;2;;2;;;;;;;;;;;;;;;;;;;;;;2;;6
110001054400006;1100010544000;06;3336.2248177;2011;2011;92;2;124;2;;;;;;;;;;;;;;;;;;;;;;1;38397;
110001054400007;1100010544000;07;3336.2248177;2017;2017;23;2;;1;;;;;;;;;;;;;;;;;;;;;;1;13899;
110001116700006;1100011167000;06;1975.1835792;2004;2004;177;2;123;1;2;;;;;;;;;;;;;;;;;;;;2;2;1500;
110001116700007;1100011167000;07;1975.1835792;2018;2018;14;1;1745;2;;;;;;;;;;;;;;;;;;;;;;2;2000;
110001173400006;1100011734000;06;1670.6694259;2014;2014;47;1;865;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
110001241700006;1100012417000;06;4249.5721015;2011;2016;86;2;124;2;;;;;;;;;;;;;;;;;;;;;;4;;1
110001286700006;1100012867000;06;2970.1657191;.;2013;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;4
110001366700006;1100013667000;06;2686.7455744;2015;2016;42;1;1170;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
110001366700007;1100013667000;07;2686.7455744;2012;2011;83;2;124;1;;;;;;;;;;;;;;;;;;;;;;1;;2
110001383700006;1100013837000;06;1204.3873308;1992;2001;312;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
110001531700006;1100015317000;06;4386.5557949;.;.;;1;900;1;2;;;;;;;;;;;;;;;;;;;;1;2;10000;
210000012300006;2100000123000;06;2125.1290561;.;.;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
210000014200006;2100000142000;06;1012.262403;2010;2014;95;2;49;1;;;;;;;;;;;;;;;;;;;;;;1;300;
210000026600006;2100000266000;06;2586.1245555;2014;2016;56;1;649;1;;;;;;;;;;;;;;;;;;;;;;1;300;
210000033200007;2100000332000;07;1586.266627;.;2017;;1;883;1;;;;;;;;;;;;;;;;;;;;;;1;1800;
210000033200006;2100000332000;06;1586.266627;.;2016;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;4000;
210000042400006;2100000424000;06;2892.7234699;2005;2005;161;1;647;2;;;;;;;;;;;;;;;;;;;;;;1;;9
210000046400006;2100000464000;06;2316.4864943;.;.;;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
210000073500006;2100000735000;06;784.32433216;2009;2003;114;1;998;2;;;;;;;;;;;;;;;;;;;;;;1;600;
210000103500006;2100001035000;06;1880.1248215;2009;2015;114;1;600;2;;;;;;;;;;;;;;;;;;;;;;1;8000;
210000112600006;2100001126000;06;2901.6103844;.;2014;;1;1200;1;;;;;;;;;;;;;;;;;;;;;;4;12000;
210000113200006;2100001132000;06;1583.1183327;2007;2017;138;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
210000114500006;2100001145000;06;2057.4189274;2012;2018;73;1;1202;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
210000124600006;2100001246000;06;1495.0237707;2016;2016;24;1;745;1;;;;;;;;;;;;;;;;;;;;;;2;16000;
210000124600007;2100001246000;07;1495.0237707;2017;2017;12;2;49;4;;;;;;;;;;;;;;;;;;;;;;2;1800;
210000152500006;2100001525000;06;1537.9372695;1984;.;411;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
210000152500007;2100001525000;07;1537.9372695;1992;.;316;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
210000152500008;2100001525000;08;1537.9372695;2001;.;210;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
210000153500006;2100001535000;06;1077.2354985;2011;2016;90;1;600;3;;;;;;;;;;;;;;;;;;;;;;1;10000;
210000201600006;2100002016000;06;1766.069635;1994;2012;290;1;;2;;;;;;;;;;;;;;;;;;;;;;2;5000;
210000203500006;2100002035000;06;1347.122429;2015;2015;35;1;997.5;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
210000203600006;2100002036000;06;1299.3342454;2002;2016;199;1;;1;;;;;;;;;;;;;;;;;;;;;;2;15000;
210000203600007;2100002036000;07;1299.3342454;1991;2016;328;1;;1;;;;;;;;;;;;;;;;;;;;;;2;1000;
210000211500006;2100002115000;06;1080.4576801;2011;2017;87;2;278;2;;;;;;;;;;;;;;;;;;;;;;1;6000;
210000272400006;2100002724000;06;3071.5076243;2001;2016;207;1;;1;;;;;;;;;;;;;;;;;;;;;;1;200;
210000283400006;2100002834000;06;2198.444578;.;2015;;1;1600;4;;;;;;;;;;;;;;;;;;;;;;1;;2
210000293500006;2100002935000;06;1278.2219693;.;.;;3;499;1;;;;;;;;;;;;;;;;;;;;;;1;80;
210000355400006;2100003554000;06;3783.8006252;2011;2011;94;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;;2
210000442400006;2100004424000;06;921.27201366;2015;2015;40;1;745;1;;;;;;;;;;;;;;;;;;;;;;1;4300;
210000442400007;2100004424000;07;921.27201366;2013;2013;55;2;125;2;;;;;;;;;;;;;;;;;;;;;;1;2500;
210000475600006;2100004756000;06;1984.0193528;1990;1989;341;2;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
220000015200006;2200000152000;06;1302.0588175;2008;2017;130;1;;1;;;;;;;;;;;;;;;;;;;;;;1;34000;
220000023200006;2200000232000;06;1456.0266759;.;2014;;1;750;2;;;;;;;;;;;;;;;;;;;;;;1;500;
220000025200006;2200000252000;06;1524.9536374;1994;2010;291;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
220000034500006;2200000345000;06;1031.6520028;2016;2016;26;1;773;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
220000043200006;2200000432000;06;1326.5396656;.;.;;1;250;1;;;;;;;;;;;;;;;;;;;;;;1;;1
220000063600006;2200000636000;06;1146.8448033;2004;2011;175;1;;2;;;;;;;;;;;;;;;;;;;;;;2;3000;
220000084500006;2200000845000;06;1274.0486386;2014;2016;54;3;50;2;;;;;;;;;;;;;;;;;;;;;;1;;2
