IDENT_NUMVEH;IDENT_MEN;NUM_VEH;pond_veh;ANNEE_1mec;ANNEE_acq;age_mois_veh;KVAVCAT2R;KVCYLIND2R;KVQUICON2R01;KVQUICON2R02;KVQUICON2R03;KVQUICON2R04;KVQUICON2R05;KVQUICON2R06;KVQUICON2R07;KVQUICON2R08;KVQUICON2R09;KVQUICON2R10;KVQUICON2R11;KVQUICON2R12;KVQUICON2R13;KVQUICON2R14;KVQUICON2R15;KVQUICON2R16;KVQUICON2R17;KVQUICON2R18;KVQUICON2R19;KVQUICON2R20;KVQUICON2R21;KVQUICONP2R;KVPARK2R;KVKM1AN2R;KVKM1AN2RT
230000513500006;2300005135000;06;1223.0351482;2013;2013;59;1;1690;1;;;;;;;;;;;;;;;;;;;;;;1;500;
240000033500006;2400000335000;06;1155.3692666;2016;2016;26;2;49;3;;;;;;;;;;;;;;;;;;;;;;2;;1
240000035600006;2400000356000;06;1689.5836025;2003;2014;190;1;;1;;;;;;;;;;;;;;;;;;;;;;1;25000;
240000045200006;2400000452000;06;1677.1149211;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
240000064200007;2400000642000;07;2903.8446475;.;.;;1;61;2;;;;;;;;;;;;;;;;;;;;;;1;;9
240000064200006;2400000642000;06;2903.8446475;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;50;
240000066200006;2400000662000;06;1192.2917375;2009;2013;121;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
240000066200007;2400000662000;07;1192.2917375;2003;2011;193;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;10000;
240000073300006;2400000733000;06;1776.9011103;2004;2018;172;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;1600;
240000074200006;2400000742000;06;712.31706794;2003;2015;189;3;;5;;;;;;;;;;;;;;;;;;;;;;1;;2
240000084300006;2400000843000;06;4405.5770483;2006;2006;152;1;49;1;;;;;;;;;;;;;;;;;;;;;;2;;5
240000085300006;2400000853000;06;2485.7895649;2014;2018;52;2;49.6;1;;;;;;;;;;;;;;;;;;;;;;1;250;
240000092200006;2400000922000;06;1690.8523039;2003;2007;184;1;;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
240000096600006;2400000966000;06;2161.7128885;2017;2018;21;1;1000;1;;;;;;;;;;;;;;;;;;;;;;1;3500;
240000111200006;2400001112000;06;1129.3601396;1954;2012;772;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;500;
240000112800006;2400001128000;06;2677.5477182;2008;2015;120;1;849;2;;;;;;;;;;;;;;;;;;;;;;1;25000;
240000122500006;2400001225000;06;1787.1133225;2003;2002;185;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
240000125200006;2400001252000;06;1270.5360489;1995;2018;286;1;900;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
240000131200006;2400001312000;06;780.06041304;1978;2017;481;1;;1;;;;;;;;;;;;;;;;;;;;;;1;70;
240000134200006;2400001342000;06;1120.0580914;1993;2012;305;1;;2;;;;;;;;;;;;;;;;;;;;;;1;500;
240000136400006;2400001364000;06;1775.7814686;2016;2016;32;1;125;1;;;;;;;;;;;;;;;;;;;;;;2;;1
240000145400006;2400001454000;06;3668.2050566;2008;2018;126;2;50;2;;;;;;;;;;;;;;;;;;;;;;1;20;
240000152200006;2400001522000;06;1861.8518419;1999;1999;226;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
240000154500006;2400001545000;06;1622.0882549;1997;2009;254;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;150;
240000155600006;2400001556000;06;2575.2058424;2004;2003;170;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
240000156600006;2400001566000;06;2162.6703843;2002;2013;203;1;652;2;;;;;;;;;;;;;;;;;;;;;;1;500;
240000156600007;2400001566000;07;2162.6703843;2015;2018;43;2;50;4;;;;;;;;;;;;;;;;;;;;;;1;100;
240000165200007;2400001652000;07;736.84978343;2015;2017;45;1;670;2;;;;;;;;;;;;;;;;;;;;;;1;10000;
240000165200006;2400001652000;06;736.84978343;2018;2018;11;1;1298;1;;;;;;;;;;;;;;;;;;;;;;1;14800;
240000175200006;2400001752000;06;800.49724834;2006;2013;153;2;124.9;2;;;;;;;;;;;;;;;;;;;;;;1;1500;
240000176600006;2400001766000;06;1203.314028;2000;2015;231;1;1000;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
240000176600007;2400001766000;07;1203.314028;.;2018;;3;50;4;;;;;;;;;;;;;;;;;;;;;;1;;9
240000184500006;2400001845000;06;3113.1494086;1999;1999;235;1;;1;;;;;;;;;;;;;;;;;;;;;;1;20000;
240000185500006;2400001855000;06;1796.3986214;2015;2015;47;1;1261;1;;;;;;;;;;;;;;;;;;;;;;1;10000;
240000195200006;2400001952000;06;1091.0244356;1995;2014;278;1;;1;;;;;;;;;;;;;;;;;;;;;;1;10000;
240000195200007;2400001952000;07;1091.0244356;2007;2017;140;1;660;2;;;;;;;;;;;;;;;;;;;;;;1;4000;
240000196200006;2400001962000;06;1301.8467113;1993;1993;306;1;883;1;;;;;;;;;;;;;;;;;;;;;;1;;9
240000211200006;2400002112000;06;793.91169686;2018;2018;3;1;49.7;4;;;;;;;;;;;;;;;;;;;;;;1;750;
240000213500006;2400002135000;06;1025.3405305;1997;2001;251;1;;2;;;;;;;;;;;;;;;;;;;;;;1;500;
240000221200006;2400002212000;06;1579.4343555;2003;2015;184;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
240000224500006;2400002245000;06;1462.2161068;1996;2013;271;1;;1;;;;;;;;;;;;;;;;;;;;;;1;40;
240000232200006;2400002322000;06;1750.9705027;2002;2008;195;1;897;1;;;;;;;;;;;;;;;;;;;;;;2;4000;
240000232200007;2400002322000;07;1750.9705027;2009;2010;103;2;49.8;4;;;;;;;;;;;;;;;;;;;;;;2;4000;
240000235600006;2400002356000;06;1721.0421694;1998;2001;248;1;;2;;;;;;;;;;;;;;;;;;;;;;1;4000;
240000241200006;2400002412000;06;1096.1277658;1997;1997;254;1;;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
240000245200006;2400002452000;06;1043.9278104;2003;2006;186;1;;2;;;;;;;;;;;;;;;;;;;;;;1;200;
240000253200006;2400002532000;06;1099.6575597;.;.;;1;1000;1;;;;;;;;;;;;;;;;;;;;;;1;;9
240000262500006;2400002625000;06;1398.6402746;1977;1998;496;1;;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
240000274200006;2400002742000;06;1148.9286171;2010;2018;98;2;124;2;;;;;;;;;;;;;;;;;;;;;;1;300;
240000282400006;2400002824000;06;3195.524117;1999;2017;229;1;;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
240000284500006;2400002845000;06;1184.848131;2013;.;68;1;1170;2;;;;;;;;;;;;;;;;;;;;;;1;;9
240000285200006;2400002852000;06;824.95085023;2009;2013;117;1;600;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
240000285400006;2400002854000;06;2675.8253991;1997;2001;256;1;;2;;;;;;;;;;;;;;;;;;;;;;1;693;
240000292500006;2400002925000;06;1845.2541699;2004;2004;166;1;750;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
240000296400006;2400002964000;06;2877.2355631;1990;2003;349;1;;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
240000301200006;2400003012000;06;892.15889077;2011;2011;83;2;49;3;;;;;;;;;;;;;;;;;;;;;;2;;1
240000302200006;2400003022000;06;689.23963683;2016;2015;28;1;1441;2;;;;;;;;;;;;;;;;;;;;;;1;1456;
240000303500006;2400003035000;06;1687.9318272;2005;2011;154;1;748;2;;;;;;;;;;;;;;;;;;;;;;1;2500;
240000313500006;2400003135000;06;1172.6770863;2014;2014;55;1;1170;1;;;;;;;;;;;;;;;;;;;;;;1;;6
240000313500007;2400003135000;07;1172.6770863;2008;2008;125;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
240000331500006;2400003315000;06;1099.7152232;2008;2008;122;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;500;
240000342500006;2400003425000;06;2623.8063869;2015;2015;37;2;124;2;;;;;;;;;;;;;;;;;;;;;;1;3000;
240000375400006;2400003754000;06;2079.6849995;2005;2017;165;1;748;1;;;;;;;;;;;;;;;;;;;;;;2;10000;
240000376400006;2400003764000;06;3686.4820778;2011;2011;94;1;800;2;;;;;;;;;;;;;;;;;;;;;;1;;9
240000376500006;2400003765000;06;1640.5523755;2018;.;10;1;847;3;;;;;;;;;;;;;;;;;;;;;;1;;9
240000381500006;2400003815000;06;2905.7367887;.;2009;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;700;
240000523400006;2400005234000;06;3439.5452499;2001;2011;206;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
250000025200006;2500000252000;06;1432.102258;2006;2017;152;1;998;2;;;;;;;;;;;;;;;;;;;;;;1;;3
250000033500006;2500000335000;06;2204.5863912;2012;2015;74;1;1170;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
250000035100006;2500000351000;06;1875.2594527;2008;.;125;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
250000035400006;2500000354000;06;2034.1847355;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
250000036100006;2500000361000;06;1836.8316145;.;.;;2;;2;;;;;;;;;;;;;;;;;;;;;;1;;2
250000046400006;2500000464000;06;4960.094367;2002;2017;200;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;11000;
250000051500006;2500000515000;06;1169.172851;.;.;;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;780;
250000052200006;2500000522000;06;893.55051607;2012;.;69;1;350;2;;;;;;;;;;;;;;;;;;;;;;1;;9
250000061100006;2500000611000;06;1619.5491669;2009;.;102;1;50;2;;;;;;;;;;;;;;;;;;;;;;2;;9
250000063200006;2500000632000;06;1230.8335073;2000;2010;224;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
250000066100006;2500000661000;06;2790.9909956;2014;2014;56;3;49;1;;;;;;;;;;;;;;;;;;;;;;1;;9
250000073400006;2500000734000;06;3326.8316382;.;.;;1;1000;1;;;;;;;;;;;;;;;;;;;;;;1;;9
250000075100006;2500000751000;06;2358.9920209;2016;2018;32;1;50;2;;;;;;;;;;;;;;;;;;;;;;1;;2
250000076100006;2500000761000;06;1269.6668883;2008;2008;128;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;500;
250000092200006;2500000922000;06;937.18015917;.;.;;1;;3;;;;;;;;;;;;;;;;;;;;;;2;;5
250000094100006;2500000941000;06;1808.792822;2016;2016;27;3;50;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
250000096200006;2500000962000;06;1702.7597244;2004;.;177;1;600;2;;;;;;;;;;;;;;;;;;;;;;1;13000;
250000103100006;2500001031000;06;2931.0434483;2018;2018;9;1;649;1;;;;;;;;;;;;;;;;;;;;;;1;;3
250000106200006;2500001062000;06;1159.8069425;2017;2017;16;1;948;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
250000106200007;2500001062000;07;1159.8069425;2017;2017;20;2;49;3;;;;;;;;;;;;;;;;;;;;;;1;2500;
250000113200006;2500001132000;06;1343.127106;.;.;;1;1000;2;;;;;;;;;;;;;;;;;;;;;;1;;2
250000115200006;2500001152000;06;1930.4869432;1972;2007;561;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
250000123400006;2500001234000;06;1224.2000792;2007;2018;130;3;49;3;;;;;;;;;;;;;;;;;;;;;;2;100;
250000153500006;2500001535000;06;2211.7504403;2018;2018;1;3;49;2;;;;;;;;;;;;;;;;;;;;;;1;100;
250000161200006;2500001612000;06;1574.5756932;2002;2018;195;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
250000181400006;2500001814000;06;3955.8938387;.;.;;2;;2;;;;;;;;;;;;;;;;;;;;;;1;;2
250000211200006;2500002112000;06;1464.5313065;1988;1988;353;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;1
250000243200006;2500002432000;06;748.93476003;.;2016;;3;49;4;;;;;;;;;;;;;;;;;;;;;;1;;4
260000012500006;2600000125000;06;1589.7593588;2017;2017;13;2;49;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
260000013600006;2600000136000;06;3245.502274;2003;2016;188;2;;2;;;;;;;;;;;;;;;;;;;;;;1;5500;
260000025200006;2600000252000;06;1080.9307819;1996;1997;273;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;9
260000025600006;2600000256000;06;2100.1874114;2004;2007;179;1;;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
260000026100006;2600000261000;06;1496.0595019;2018;2018;10;2;530;1;;;;;;;;;;;;;;;;;;;;;;1;3116;
260000032600006;2600000326000;06;3431.8787634;2017;2017;7;1;798;1;;;;;;;;;;;;;;;;;;;;;;1;1700;
260000033100006;2600000331000;06;1330.7810514;2014;2014;57;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;600;
260000035800006;2600000358000;06;1817.3508592;2011;2011;92;2;;1;;;;;;;;;;;;;;;;;;;;;;1;;2
260000043200006;2600000432000;06;1671.7009183;2013;2011;66;2;49.2;3;;;;;;;;;;;;;;;;;;;;;;1;5000;
260000044200006;2600000442000;06;1211.5270002;2006;2017;144;1;1832;2;;;;;;;;;;;;;;;;;;;;;;1;7000;
260000046500006;2600000465000;06;1965.5108698;.;2012;;1;400;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
260000046600006;2600000466000;06;2364.979788;1992;.;322;1;;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
260000052100006;2600000521000;06;2476.049903;2006;2017;144;1;748;1;;;;;;;;;;;;;;;;;;;;;;1;200;
260000062500007;2600000625000;07;1846.2252856;2016;2016;27;1;900;1;;;;;;;;;;;;;;;;;;;;;;1;800;
260000062500008;2600000625000;08;1846.2252856;2004;2004;168;1;652;1;;;;;;;;;;;;;;;;;;;;;;1;500;
260000062500010;2600000625000;10;1846.2252856;2007;2008;128;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;500;
260000062500006;2600000625000;06;1846.2252856;1999;1999;227;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
260000062500009;2600000625000;09;1846.2252856;1996;2002;266;1;;2;;;;;;;;;;;;;;;;;;;;;;1;200;
260000074200006;2600000742000;06;1616.7777789;.;2017;;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
260000074200007;2600000742000;07;1616.7777789;.;2018;;1;650;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
260000084400006;2600000844000;06;2047.238988;2008;2008;130;1;1255;1;;;;;;;;;;;;;;;;;;;;;;1;1200;
260000092200006;2600000922000;06;2687.2131795;2012;2016;73;1;1000;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
260000111500006;2600001115000;06;2477.0851536;.;.;;1;883;2;;;;;;;;;;;;;;;;;;;;;;1;7500;
260000113500006;2600001135000;06;1999.4090612;2000;2018;220;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;2
260000113500007;2600001135000;07;1999.4090612;2016;2017;28;1;49;3;;;;;;;;;;;;;;;;;;;;;;1;;2
260000115500006;2600001155000;06;2021.6897195;2001;2008;212;1;1199;1;;;;;;;;;;;;;;;;;;;;;;1;500;
260000125200006;2600001252000;06;1827.3068414;1998;2018;244;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
260000125200007;2600001252000;07;1827.3068414;2011;2011;90;1;1079;1;;;;;;;;;;;;;;;;;;;;;;1;4000;
260000135500006;2600001355000;06;2780.4805841;1976;2011;515;3;;1;;;;;;;;;;;;;;;;;;;;;;1;300;
260000135500007;2600001355000;07;2780.4805841;1973;1995;546;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
260000135500008;2600001355000;08;2780.4805841;.;2005;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
260000135500009;2600001355000;09;2780.4805841;1978;2017;487;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
260000142200006;2600001422000;06;894.38794923;2014;2016;51;1;600;3;;;;;;;;;;;;;;;;;;;;;;1;2500;
260000142400006;2600001424000;06;1832.2143916;2005;2015;157;2;124;1;;;;;;;;;;;;;;;;;;;;;;2;2543;
260000144200006;2600001442000;06;790.59118546;1997;1997;255;1;;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
260000146200006;2600001462000;06;1058.4943354;2008;2008;133;1;656;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
260000172200006;2600001722000;06;977.96426744;2017;2018;17;1;1300.8;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
260000172200007;2600001722000;07;977.96426744;.;.;;2;449;4;;;;;;;;;;;;;;;;;;;;;;1;300;
310000013500006;3100000135000;06;1506.2873145;2010;2018;94;1;599;1;;;;;;;;;;;;;;;;;;;;;;1;15000;
310000014200006;3100000142000;06;1291.9240883;2010;2010;105;1;650;3;;;;;;;;;;;;;;;;;;;;;;1;1200;
310000014400006;3100000144000;06;1406.2061216;2008;2011;128;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;6000;
310000021500006;3100000215000;06;1317.0070601;1975;1975;517;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;1
310000026200006;3100000262000;06;874.54990095;2011;2012;92;2;49;5;;;;;;;;;;;;;;;;;;;;;;1;5000;
310000041500006;3100000415000;06;1445.8502191;2014;2014;43;1;49.2;3;;;;;;;;;;;;;;;;;;;;;;1;500;
310000041500007;3100000415000;07;1445.8502191;2015;2015;34;1;847;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
310000041800006;3100000418000;06;1262.2479435;.;.;;2;;1;;;;;;;;;;;;;;;;;;;;;;2;900;
310000042500006;3100000425000;06;1120.6340215;2017;2017;15;1;948;2;;;;;;;;;;;;;;;;;;;;;;1;3029;
310000051100006;3100000511000;06;2115.9470329;2014;2017;48;1;806;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000051400006;3100000514000;06;7882.6858834;2006;2008;146;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000053500006;3100000535000;06;959.32338725;2012;2017;74;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;700;
310000062500006;3100000625000;06;1477.9185024;1992;2010;313;1;;1;;;;;;;;;;;;;;;;;;;;;;1;800;
310000075500006;3100000755000;06;1039.6816053;1978;2010;490;1;;2;;;;;;;;;;;;;;;;;;;;;;1;7000;
310000082200006;3100000822000;06;1005.4992536;2003;2008;182;1;800;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
310000082200007;3100000822000;07;1005.4992536;2015;2017;41;1;1650;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
310000082400006;3100000824000;06;1778.6066641;2002;2002;192;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000093200006;3100000932000;06;1088.2081188;2018;2018;2;1;125;2;;;;;;;;;;;;;;;;;;;;;;1;1200;
310000112200006;3100001122000;06;871.66852369;2006;2006;142;2;124;1;;;;;;;;;;;;;;;;;;;;;;1;;2
310000124500006;3100001245000;06;886.90732735;2011;2011;91;1;675;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
310000124500007;3100001245000;07;886.90732735;2011;2011;91;1;1100;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
310000151100006;3100001511000;06;2763.7209023;2004;2018;170;1;;2;;;;;;;;;;;;;;;;;;;;;;1;30;
310000162200006;3100001622000;06;689.83579111;2009;2017;105;1;997.5;1;3;;;;;;;;;;;;;;;;;;;;1;1;12000;
310000162200007;3100001622000;07;689.83579111;2002;2018;188;1;487;3;;;;;;;;;;;;;;;;;;;;;;1;300;
310000162200008;3100001622000;08;689.83579111;2017;2017;8;2;49;5;;;;;;;;;;;;;;;;;;;;;;1;2523;
310000164500006;3100001645000;06;1298.4164021;2010;2017;99;1;500;2;;;;;;;;;;;;;;;;;;;;;;1;500;
310000165200006;3100001652000;06;959.78304538;2014;2015;55;1;1690;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
310000203200006;3100002032000;06;965.09698631;2009;2009;111;1;865;2;;;;;;;;;;;;;;;;;;;;;;1;1000;
310000211300006;3100002113000;06;1987.1280113;.;2017;;2;50;2;;;;;;;;;;;;;;;;;;;;;;4;;2
310000213200006;3100002132000;06;1186.1862665;2009;2014;113;2;125;1;;;;;;;;;;;;;;;;;;;;;;2;14226;
310000221500006;3100002215000;06;384.54443363;2001;2006;208;2;;1;;;;;;;;;;;;;;;;;;;;;;1;100;
310000222400006;3100002224000;06;2148.022401;1995;2015;279;1;;1;;;;;;;;;;;;;;;;;;;;;;8;;2
310000232500006;3100002325000;06;477.42151875;2007;.;128;1;1300;3;;;;;;;;;;;;;;;;;;;;;;1;500;
310000241400006;3100002414000;06;1580.8969292;2008;2017;116;2;124;2;;;;;;;;;;;;;;;;;;;;;;1;1200;
310000242200006;3100002422000;06;1135.4324302;.;2014;;1;1000;2;;;;;;;;;;;;;;;;;;;;;;1;;2
310000246500006;3100002465000;06;845.59534191;.;2017;;2;125;5;;;;;;;;;;;;;;;;;;;;;;4;;2
310000251200006;3100002512000;06;686.09898675;2012;2018;72;1;649;4;;;;;;;;;;;;;;;;;;;;;;1;5000;
310000251300006;3100002513000;06;1595.2275696;2014;2014;46;1;650;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
310000264500006;3100002645000;06;963.96806312;2012;2012;78;1;1170;1;;;;;;;;;;;;;;;;;;;;;;1;10000;
310000264500007;3100002645000;07;963.96806312;2012;2012;80;2;124;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
310000265500006;3100002655000;06;2112.7079323;1999;1999;235;1;;2;;;;;;;;;;;;;;;;;;;;;;1;9000;
310000274200006;3100002742000;06;1189.4042952;2017;2018;12;1;50;3;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000285400006;3100002854000;06;1953.7184736;2014;2017;57;1;471;1;;;;;;;;;;;;;;;;;;;;;;1;;2
310000311200006;3100003112000;06;1193.7877391;1993;2011;303;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2500;
310000311400006;3100003114000;06;1702.2271786;2008;2008;120;2;50;3;;;;;;;;;;;;;;;;;;;;;;1;19000;
310000314200006;3100003142000;06;963.12361649;2011;2015;86;1;865;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000314200007;3100003142000;07;963.12361649;2016;2017;29;1;800;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000386500009;3100003865000;09;2468.250729;2004;2007;178;1;1170;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000386500006;3100003865000;06;2468.250729;1975;1977;527;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
310000386500007;3100003865000;07;2468.250729;1981;1995;451;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
310000386500008;3100003865000;08;2468.250729;1978;1992;494;1;;1;;;;;;;;;;;;;;;;;;;;;;1;500;
310000415500006;3100004155000;06;2470.4731244;2002;2016;200;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;100;
310000431400006;3100004314000;06;2770.2658484;2006;2008;146;1;748;2;;;;;;;;;;;;;;;;;;;;;;1;35000;
310000483400006;3100004834000;06;1923.3458953;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;200;
310000514400006;3100005144000;06;2392.0748163;2015;2017;38;2;49;2;;;;;;;;;;;;;;;;;;;;;;1;2000;
310000516500006;3100005165000;06;1442.3891186;.;2009;;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;;1
310000533500006;3100005335000;06;1190.5928941;2012;2018;70;2;49.9;4;;;;;;;;;;;;;;;;;;;;;;1;1000;
310000541500006;3100005415000;06;1050.2604512;2015;2015;37;1;749;1;;;;;;;;;;;;;;;;;;;;;;2;3000;
310000545500006;3100005455000;06;1418.9142633;.;2018;;2;;2;1;;;;;;;;;;;;;;;;;;;;2;1;1000;
310000565500006;3100005655000;06;1817.3034531;2009;2015;118;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;;5
310000571400006;3100005714000;06;2989.6243527;2010;2017;89;3;49.9;2;;;;;;;;;;;;;;;;;;;;;;1;700;
310000586500006;3100005865000;06;1191.504279;2013;2019;71;1;1298;1;;;;;;;;;;;;;;;;;;;;;;1;40;
310000606500006;3100006065000;06;931.1193832;.;2019;;3;50;4;;;;;;;;;;;;;;;;;;;;;;1;150;
310000621400006;3100006214000;06;1689.1050653;.;.;;1;;2;;;;;;;;;;;;;;;;;;;;;;2;200;
310000643400006;3100006434000;06;2183.7561382;2009;2018;113;1;125;1;;;;;;;;;;;;;;;;;;;;;;1;1000;
310000646500006;3100006465000;06;1016.8544137;2015;2016;46;1;656;1;;;;;;;;;;;;;;;;;;;;;;1;5000;
310000674400006;3100006744000;06;2102.6476812;2003;2015;188;1;;1;;;;;;;;;;;;;;;;;;;;;;1;350;
310000726400006;3100007264000;06;1390.4180813;2011;2016;95;1;649;1;;;;;;;;;;;;;;;;;;;;;;1;7000;
310000745400006;3100007454000;06;2025.9960234;2003;.;192;1;;1;;;;;;;;;;;;;;;;;;;;;;1;28000;
410000011200006;4100000112000;06;1879.9677103;2016;2013;21;1;50;3;;;;;;;;;;;;;;;;;;;;;;1;1500;
410000011200007;4100000112000;07;1879.9677103;2008;2015;119;1;748;2;;;;;;;;;;;;;;;;;;;;;;1;5000;
410000014100006;4100000141000;06;1693.6244109;1994;2007;292;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;9
410000015200006;4100000152000;06;915.1760922;2008;2015;127;1;124;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
410000021200006;4100000212000;06;1289.1380807;2010;2016;97;1;1151;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000026500006;4100000265000;06;1672.9486556;.;2018;;2;400;2;;;;;;;;;;;;;;;;;;;;;;1;1500;
410000026500007;4100000265000;07;1672.9486556;2002;2018;207;2;;1;;;;;;;;;;;;;;;;;;;;;;1;2200;
410000034100006;4100000341000;06;878.82019704;1993;2007;305;1;;1;;;;;;;;;;;;;;;;;;;;;;1;3000;
410000036200006;4100000362000;06;1055.6805922;2010;2017;107;1;1585;1;;;;;;;;;;;;;;;;;;;;;;1;8000;
410000036200007;4100000362000;07;1055.6805922;2008;2017;126;1;1584;2;;;;;;;;;;;;;;;;;;;;;;1;8000;
410000041200006;4100000412000;06;983.61875154;2000;2002;221;1;;1;;;;;;;;;;;;;;;;;;;;;;1;100;
410000052500006;4100000525000;06;968.93819142;2003;2017;185;1;;1;;;;;;;;;;;;;;;;;;;;;;1;2000;
410000056400006;4100000564000;06;2030.594847;2011;2011;94;1;599;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
410000063400006;4100000634000;06;1831.7923878;1992;2017;313;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
410000064400006;4100000644000;06;3715.6421704;2005;2016;160;2;125;1;;;;;;;;;;;;;;;;;;;;;;1;2500;
410000065200007;4100000652000;07;1899.5434408;2006;2018;153;3;50;3;;;;;;;;;;;;;;;;;;;;;;1;400;
410000065200006;4100000652000;06;1899.5434408;1996;2010;271;1;;2;;;;;;;;;;;;;;;;;;;;;;1;30;
410000066200006;4100000662000;06;1852.2675479;2010;2015;108;1;1000;1;;;;;;;;;;;;;;;;;;;;;;1;1500;
410000066200007;4100000662000;07;1852.2675479;2013;2013;66;1;303.7;1;;;;;;;;;;;;;;;;;;;;;;1;200;
410000071100006;4100000711000;06;3145.7563425;2010;2017;95;2;49.5;3;;;;;;;;;;;;;;;;;;;;;;1;;1
410000074200006;4100000742000;06;963.92534848;1978;.;483;1;;1;;;;;;;;;;;;;;;;;;;;;;1;100;
410000074500006;4100000745000;06;1724.3263418;2002;2004;198;2;;1;;;;;;;;;;;;;;;;;;;;;;2;6000;
