0;1,025918292;0;0
1995;1,000231218;0;2000
4005;0,975195363;0;4000
6000;0,950778297;0;6000
8010;0,926980251;0;8000
10005;0,903770401;0;10000
12000;0,885035583;0;12000
0;1,048787989;1;0
1995;1,000231218;1;2000
4005;0,994774591;1;4000
6000;0,998102962;1;6000
8010;1,003625001;1;8000
10005;1,000380621;1;10000
12000;1,008018368;1;12000
0;0,99913197;2;0
1995;1,000231218;2;2000
4005;0,949733396;2;4000
6000;0,897809998;2;6000
8010;0,852483029;2;8000
10005;0,809437752;2;10000
12000;0,768566003;2;12000
